url,name,description,thumbnail_url,download_url,tags,rating,developer,category,downloads,file_size,last_updated,version,scraped_at,content_hash
https://visualskins.com/skin/mond,Mond,"If you are looking for some fancy fonts in a theme and you are unable to find that, then you might be missing Mond rainmeter desktop skin. This theme is really amazing with such stylish UI, and you can customize that as per your desire. In this theme, you will get to keep track of time, date, the day of the week, Weather with visual representation, music player and other options for music. You will also find the recycle bin which shows the number of deleted files in it.",https://visualskins.com/i/c/600x400/media/p/565/mond-rainmeter.jpg,https://visualskins.com/media/p/565/mond.rmskin,"clock, minimalism, music, recycle bin, themes, time and date, weather",5.5 by 5000 votes,HipHopium,Themes,,1.9 MB,"Sept. 14, 2018",,2025-05-30T08:12:13.980350,08dea1a43010e5c62f39dd969f97ae6a
https://visualskins.com/skin/rcalendar,RCalendar Rainmeter Skin,"This rainmeter skin allows you to have a round calendar on your desktop all the time. This calendar is having eight different languages, is transparent, and it also has a clock in the middle. The transparency, colors, font sizes can be modified according to your desire. You can also increase and decrease the size of the clock easily by using the left click and middle click, respectively. It will be satisfying for you to have a calendar and a clock on your desktop with your customization.",https://visualskins.com/i/c/600x400/media/p/662/rcalendar-vr11-rainmeter.jpg,https://visualskins.com/media/p/662/rcalendar-vr11.rmskin,"calendar, clock, time and date",5.0 by 1 votes,sephirotess,Clock,,558.0 KB,2-Jun-21,,2025-05-30T08:12:04.200368,07531e5ba5641c2364c24c42e07be0a1
https://visualskins.com/skin/solardiscs-11,SolarDiscs 1.1 Rainmeter Skin,"The creativity and unique idea behind this rainmeter skin make it more attractive and alluring. This skin is a combination of three clock skins with different locations, and the clocks glow according to the twilight or night of the locations selected. You can change the locations easily. The skins are resizable, and you can place them anywhere in any sequence on your desktop. The different twilights of every clock make your desktop more elegant and eye-catching.",https://visualskins.com/i/c/600x400/media/p/658/solardiscs-11-rainmeter.jpg,https://visualskins.com/media/p/658/solardiscs-11.rmskin,"clock, time and date",4.5 by 2 votes,,Clock,,3.4 MB,8-Jun-21,,2025-05-30T08:12:04.333005,e5cf3f005f26d45fe8e342a7b8810937
https://visualskins.com/skin/windows-10-clock,Windows 10 Clock Rainmeter Skin,Who wouldnt want this multilingual Windows 10 clock with real-time weather updates? This rainmeter skin is very useful as it keeps you updated about the weather as well as gives you severe weather alerts. It has two backgrounds one is blue and the other is glass. The skin is resizable and easy to configure. It gives you details when you place the cursor on the weather icon. The background colors are fascinating and make your desktop simple and classy.,https://visualskins.com/i/c/600x400/media/p/687/windows-10-clock-rainmeter.jpg,https://visualskins.com/media/p/687/windows_10_clock.rmskin,"clock, time and date, weather",5.0 by 1 votes,xxenium,Clock,,4.4 MB,2-Jun-21,,2025-05-30T08:12:04.363454,53825e10f08c73f8e6709e8635f49264
https://visualskins.com/skin/xclock1,xClock Rainmeter Skin,"Xperia clock widget looks elegant on your PC desktop. Wouldnt it be super cool to have an Xperia clock on your desktop? If you want that, this rainmeter skin is waiting for you. It allows you to have an Xperia clock widget on your desktop with four different options. The color combination and easy modifications in size and placing make this skin more elegant and simpler.",https://visualskins.com/i/c/600x400/media/p/713/xclock1-rainmeter.jpg,https://visualskins.com/media/p/713/xclock.rmskin,"clock, time and date",5.0 by 1 votes,TavoBros,Clock,,892.8 KB,2-Jun-21,,2025-05-30T08:12:04.438422,6fcb3fa49470e39eacb040ac2cbf1842
https://visualskins.com/skin/tempus,Tempus Rainmeter Skin,"This rainmeter skin is a clock that shows time and date in the form of a formation around a cross. The formation of the time and date can be changed both horizontally and vertically. You can change the font, font size, and colors. You can resize the skin easily and place it anywhere on your desktop. The skin is very unique and simple which adds creativity to your desktop and make it look cooler than ever.",https://visualskins.com/i/c/600x400/media/p/712/tempus-rainmeter.jpg,https://visualskins.com/media/p/712/tempus.rmskin,clock,,joshuah345,Clock,,200.9 KB,15-Jun-21,,2025-05-30T08:12:04.576525,73433443ebb33ba1d14a85ab916f6ed7
https://visualskins.com/skin/thistle-clock,Thistle Clock Rainmeter Skin,Thistle flower is quite well-known for its beautiful and mesmerizing texture. This rainmeter skin is a clock in which you can see a thistle flower in the middle. The clock looks colorful due to the flower in it. The clock is analog and can be placed anywhere on your desktop. You can resize the skin easily according to your preferences. The settings are easy to configure. The light purple color of the flower makes this skin more attractive and charismatic.,https://visualskins.com/i/c/600x400/media/p/739/thistle-clock-rainmeter.jpg,https://visualskins.com/media/p/739/thistle_clock.rmskin,clock,,tobaal,Clock,,659.1 KB,15-Jun-21,,2025-05-30T08:12:04.587330,443d209513b87a1148842188cb2ed693
https://visualskins.com/skin/clockworld,ClockWorld Rainmeter Skin,This elegant and simple rainmeter desktop skin allows you to have date and time on your desktop all the time. It also displays a refreshing message according to the time of the day. It gives you some adaptive quotes and wallpapers for your screen. It has a music player as well that supports web player. The skin is very easily customizable and makes your desktop more graceful and elegant.,https://visualskins.com/i/c/600x400/media/p/719/clockworld-rainmeter.jpg,https://visualskins.com/media/p/719/clockworld_4_3.rmskin,"clock, search, time and date",,ervans589,Clock,,9.5 MB,2-Jun-21,4.3,2025-05-30T08:12:05.311514,03d1ec1b28e1d53fde25a15d5e6a7bf6
https://visualskins.com/skin/elegant-watch,Elegant Watch Rainmeter Skin,It is said that simplicity is the ultimate sophistication. Elegance and simplicity are always related to each other. This clock skin is an elegant rainmeter skin which is very simple and sophisticated. The widget can be configured according to your choice. The elegant and simple look of the watch makes your desktop more graceful and charming.,https://visualskins.com/i/c/600x400/media/p/706/elegant-watch-rainmeter.jpg,https://visualskins.com/media/p/706/elegant_watch.rmskin,clock,,adni18,Clock,,160.9 KB,2-Jun-21,,2025-05-30T08:12:05.396909,2469716a4b321fe516e98ad3f261956a
https://visualskins.com/skin/aviatorclock,AviatorClock Rainmeter Skin,"Aviator is famous for making watches that reflect all the aspects of airplanes' design. The appealing look of adventure and wanderlust with modern technology makes this brand peculiar. If you have an inspiration towards aviation or you want to be an aviator, this rainmeter skin is perfect for you. This aviator clock can fill your heart with realistic feelings of aviation.",https://visualskins.com/i/c/600x400/media/p/730/aviatorclock-rainmeter.jpg,https://visualskins.com/media/p/730/aviatorclock_1_2.rmskin,clock,,by-segaal,Clock,,442.5 KB,2-Jun-21,1.2,2025-05-30T08:12:05.554546,2758e3fe1e4dfd759a4cae4982934bab
